广安门内站,116.376708,39.899212
红莲南路站,116.342524,39.882916
黑庄户站,116.599061,39.834813
欢乐谷景区站,116.496648,39.872999
沙河高教园站,116.266091,40.169975
回龙观东大街站,116.367616,40.086892
灯市口站,116.423962,39.923687
宣武门站,116.381491,39.902996
木樨园站,116.411266,39.864287
陶然桥站,116.394372,39.877399
北京站,116.426105,39.908479
磁器口站,116.426226,39.898671
东单站,116.424934,39.914785
天安门东站,116.403849,39.915447
永安里站,116.413384,39.910925
火箭万源站,116.413384,39.910925
苏州桥站,116.314721,39.968273
双榆树站,116.331524,39.981712
车公庄站,116.360669,39.940440
丰台南路站,116.307588,39.847916
知春里站,116.334571,39.982363
中关村站,116.344895,39.987270
田村站,116.268548,39.936479
四季青站,116.294640,39.962464
潘家园站,116.456800,39.883743
方庄站,116.438453,39.865144
建国门站,116.442268,39.914530
东大桥站,116.458530,39.929006
团结湖站,116.467871,39.940515
和平西桥站,116.413384,39.910925
芍药居站,116.442492,39.983648
农业展览馆站,116.470462,39.947098
香河园站,116.444496,39.952164
望京西站,116.454033,40.000710
首经贸站,116.413384,39.910925
公益西桥站,116.377064,39.843690
草桥站,116.413384,39.910925
角门东站,116.396398,39.854743
望京站,116.476890,40.004716
大钟寺站,116.351593,39.972975
西土城站,116.362628,39.964743
南法信站,116.615030,40.134247
双井站,116.413384,39.910925
金台夕照站,116.466402,39.921094
大郊亭站,116.497375,39.894153
平乐园站,116.483157,39.894109
九棵树站,116.663997,39.896445
霍营站,116.367675,40.076791
星城站,116.413384,39.910925
良乡大学城西站,116.251590,39.845578
经海路站,116.559062,39.801989
玉泉路站,116.259636,39.921884
管庄站,116.605327,39.915483
北土城站,116.401230,39.984602
马甸桥站,116.388307,39.974337
安贞桥站,116.414299,39.975292
黄村西大街站,116.336403,39.737385
北苑站,116.440719,40.049128
立水桥南站,116.418381,40.048088
北运河西站,116.251590,39.845578
五棵松站,116.282178,39.941871
复兴门站,116.359854,39.913661
大稿站,116.413384,39.910925
南楼梓庄站,116.413384,39.910925
南邵站,116.294637,40.212729
长椿街站,116.370073,39.902824
西单站,116.379282,39.916798
海户屯站,116.510794,39.829384
天安门西站,116.251590,39.845578
东高地站,116.424942,39.812237
阜成门站,116.361681,39.929361
平安里站,116.375904,39.937430
丰台东大街站,116.300838,39.870082
廖公庄站,116.229125,39.939152
永定路站,116.271097,39.916681
